Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.uv.pacific.core.json	16844	-	0	0	0	0	0	0	23	164	0	0	1	0	1	0	0	1	0	0	0	139	183	0	0	0	6	0	3
fsh-generated/resources/NamingSystem-FijiOrganizationIdentifier.json	475	2	12	0	2	0	0	0	0	6	2902	0	0	0	0	0	0	0	0	0	0	19	29	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-FijiPatientIdentifier.json	451	1	3	0	0	0	0	0	0	4	23	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-FijiPractitionerRegistration.json	492	0	2	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-WSPractitionerRegistration.json	507	1	1	0	0	0	0	0	1	3	20	0	0	0	1	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/Organization-PacificHospitalExample.json	614	1	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	12	15	0	0	1	0	0	0
fsh-generated/resources/Patient-PacificPatientExample1.json	864	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
fsh-generated/resources/Patient-PacificPatientExample2.json	876	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/Patient-PacificPatientFijiITaukei.json	914	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/Patient-PacificPatientFijiIndo.json	671	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-PacificPractitionerExample.json	770	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PacificPractitionerRoleExample.json	650	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-pacific-address-island.json	1469	1	0	12	1	0	0	0	0	346	0	0	0	0	0	0	0	1	0	0	0	48	650	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-pacific-address-village.json	1473	2	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	36	200	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-pacific-address.json	7034	2	0	20	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	92	352	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-pacific-allergy-intolerance.json	1710	2	0	32	0	0	0	0	0	16	0	0	0	0	1	0	0	1	0	0	0	149	497	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-pacific-clan-affiliation.json	1789	2	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	45	195	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-pacific-condition.json	1409	1	0	33	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	0	145	1135	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-pacific-humanname.json	4163	2	0	12	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	76	178	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-pacific-observation.json	1377	1	0	39	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	0	0	210	846	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-pacific-organization.json	1376	2	0	23	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	88	259	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-pacific-patient.json	4691	2	0	36	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	178	463	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-pacific-practitioner-role.json	3019	2	0	25	1	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	111	239	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-pacific-practitioner.json	4182	3	0	33	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	142	576	0	0	0	8	0	0
